COUNTRY,Sum
Argentina,1354
Australia,3294
Austria,21
Belarus,187
Belgium,12575
Bolivia,36
Bosnia and Herzegovina,60
Bulgaria,629
Canada,288
China,45
Colombia,9
Costa Rica,7759
Czech Republic,7
Dominican Republic,360
Ecuador,1
El Salvador,8
Estonia,149
France,10199
Germany,25593
Guatemala,284
Honduras,204
India,35494
Ireland,9172
Israel,4
Japan,2
"Korea, Republic of",5830
Latvia,168
Lithuania,356
Pakistan,428
Panama,556
Philippines,8805
Russian Federation,1
Singapore,1
Slovenia,12
Spain,2
Sweden,101
Taiwan,3
Turkey,1583
United Arab Emirates,7
United Kingdom,2
United States,93905
Uruguay,234
Venezuela,434
