COUNTRY,Sum
Argentina,1364
Australia,5330
Austria,5094
Belarus,163
Belgium,11715
Bolivia,36
Bosnia and Herzegovina,66
Brazil,614
Bulgaria,847
Canada,2435
Chile,1
China,61
Colombia,2
Costa Rica,7869
Croatia,5
Czech Republic,12
Denmark,6
Dominican Republic,435
El Salvador,12
Estonia,163
France,11817
Germany,25167
Guatemala,353
Honduras,258
India,35768
Indonesia,11
Ireland,8900
Israel,1745
Japan,10
"Korea, Republic of",6578
Latvia,161
Lithuania,374
Luxembourg,26
Mexico,1
Nicaragua,5
Norway,51
Pakistan,471
Panama,617
Philippines,8875
Romania,4
Russian Federation,230
Saudi Arabia,1
Serbia,13
Slovenia,36
Sweden,177
Switzerland,15
Turkey,1849
Ukraine,11
United Kingdom,5
United States,98944
Uruguay,202
Venezuela,745
Vietnam,6
